anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,gas,molecular_mass_amu,jeans_lambda,retention_class
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2,2.016,27.698227810054583,retenção moderada
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,He,4.003,54.99801881133357,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CH4,16.04,220.37677285380724,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,NH3,17.03,233.97858115338764,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2O,18.015,247.511693451455,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,N2,28.014,384.88995727721675,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CO,28.01,384.83500047600637,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,O2,31.998,439.6269312828008,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,H2S,34.08,468.23194631282735,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,CO2,44.01,604.6622053177093,retenção plausível
mars_cold,venus_greenhouse_effective,Venus-like,469.8643663935213,196.71436639352132,10.360937957550536,SO2,64.07,880.2705633879945,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,H2,2.016,54.4442754020652,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,He,4.003,108.10537422344593,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,CH4,16.04,433.177667385479,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,NH3,17.03,459.9136954847075,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,H2O,18.015,486.51469313899037,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,N2,28.014,756.5485769411976,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,CO,28.01,756.4405525852412,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,O2,31.998,864.1408354738502,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,H2S,34.08,920.3675127491972,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,CO2,44.01,1188.5379764111553,retenção plausível
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,SO2,64.07,1730.2801215328952,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,H2,2.016,59.650261862793144,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,He,4.003,118.44245944283779,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,CH4,16.04,474.5983136305565,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,NH3,17.03,503.89085293817817,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,H2O,18.015,533.0354501280846,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,N2,28.014,828.890097135063,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,CO,28.01,828.7717434408909,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,O2,31.998,946.7703765305828,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,H2S,34.08,1008.3734743472172,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,CO2,44.01,1302.1865201297253,retenção plausível
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,SO2,64.07,1895.7302964033513,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,H2,2.016,52.7162869491038,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,He,4.003,104.67425429427705,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,CH4,16.04,419.42918782917894,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,NH3,17.03,445.31665017025676,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,H2O,18.015,471.0733677520362,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,N2,28.014,732.5367373969215,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,CO,28.01,732.4321415894829,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,O2,31.998,836.7141616058647,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,H2S,34.08,891.1562793777068,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,CO2,44.01,1150.8153713442748,retenção plausível
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,SO2,64.07,1675.363345649345,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,H2,2.016,11.671273296990105,retenção frágil
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,He,4.003,23.17465625389454,retenção moderada
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,CH4,16.04,92.86072603359189,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,NH3,17.03,98.59215488479241,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,H2O,18.015,104.2946371256333,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,N2,28.014,162.18206852275833,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,CO,28.01,162.15891123447065,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,O2,31.998,185.24672765728639,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,H2S,34.08,197.30009621102317,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,CO2,44.01,254.78806438518575,retenção plausível
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,SO2,64.07,370.9218651478948,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,H2,2.016,22.444923615677737,retenção moderada
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,He,4.003,44.5669787864871,retenção plausível
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,CH4,16.04,178.57965019616609,retenção plausível
