anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,1366.0000000000002,8.868889239938161,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,384121.53634235216,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,1366.0000000000002,8.868889239938161,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,532983.2131267783,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,1366.0000000000002,8.868889239938161,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,389949.99933445017,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
earth,venus_greenhouse_effective,Venus-like,579.8375830116065,306.68758301160653,10.360937957550536,1366.0000000000002,8.868889239938161,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,275465.5370365199,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
mars_cold,Blackbody Ideal,Earth-like,225.7412324149625,-47.40876758503748,11.184982503114451,589.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,248791.37132762754,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.295099999999998,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.
mars_cold,earth_effective_temperature,Earth-like,206.0396290543012,-67.11037094569883,11.184982503114451,589.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.932050000000004,35.8379,248791.37132762754,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.886400000000002,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world."
mars_cold,earth_surface_greenhouse_effective,Earth-like,233.14080976658707,-40.00919023341291,11.184982503114451,589.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.382600000000004,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte."
