anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes,redistribution_factor_atm,T_eq_atm_K,T_eq_atm_C,climate_classification,column_heat_capacity_J_m2_K,radiative_timescale_seconds,radiative_timescale_days,radiative_timescale_years,climate_priority,ranking_comment,priority_order
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,1267772.7322278093,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.89346111650264,quente/marginal,46124868.20755149,8589378.07021012,99.41409803483936,0.2721809665567128,média,"quente, mas ainda interessante; avaliar perda de água e UV",1
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,927548.86816834,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,28100185.71604668,4625063.076885449,53.530822649137136,0.146559404925769,média,"quente, mas ainda interessante; avaliar perda de água e UV",1
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,384121.53634235216,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,11480009.883742074,1959931.5980754504,22.68439349624364,0.0621064845893049,média,"quente, mas ainda interessante; avaliar perda de água e UV",1
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,532983.2131267783,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.89346111650264,quente/marginal,19391315.04990632,3611052.83797715,41.79459303214294,0.1144273594309183,média,"quente, mas ainda interessante; avaliar perda de água e UV",1
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,389949.99933445017,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,11813574.224837102,1944418.6777078223,22.5048458068035,0.0616149098064435,média,"quente, mas ainda interessante; avaliar perda de água e UV",1
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.3713276276,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,259.2448028295225,-13.905197170477493,frio/marginal,8916160.286502384,2820239.403941836,32.64165976784532,0.0893679938886935,média-baixa,frio/marginal; pode ser salvo por maior pressão ou efeito estufa,2
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,346925.8797713749,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,265.377758439656,-7.772241560343957,frio/marginal,10368365.61319922,2877571.2456741445,33.30522275085816,0.0911847303240469,média-baixa,frio/marginal; pode ser salvo por maior pressão ou efeito estufa,2
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,1366.0000000000002,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,268.7866943308398,-4.363305669160184,frio/marginal,17513595.03992204,5301747.174940463,61.36281452477388,0.1680022300472933,média-baixa,frio/marginal; pode ser salvo por maior pressão ou efeito estufa,2
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,1366.0000000000002,3.7285618816404313,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,655232.074711367,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,259.2448028295225,-13.905197170477493,frio/marginal,23482141.5702985,7427553.881658086,85.9670588154871,0.235364979645413,média-baixa,frio/marginal; pode ser salvo por maior pressão ou efeito estufa,2
earth,mars_like_radiative_case,Mars-like,262.5905890289408,-10.559410971059208,5.027887186236593,1366.0000000000002,3.7285618816404313,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,913685.0798346854,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,265.377758439656,-7.772241560343957,frio/marginal,27306757.76997134,7578546.50413057,87.71465861262234,0.2401496471255916,média-baixa,frio/marginal; pode ser salvo por maior pressão ou efeito estufa,2
